team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
CUL,2022,843,2454,2192,521,194,50,94,8,27,712,30,18,217,429,196,5,56,392,0.325,0.307,0.632,0.238,0.282,348.8712730095365,1689,742,0.3
GSV,2022,832,2558,2216,509,210,23,99,5,30,708,46,12,221,489,239,10,47,375,0.319,0.316,0.635,0.23,0.28,361.8994333555112,1719,784,0.301
HER,2022,712,2597,2269,583,265,82,97,13,39,823,31,25,293,432,248,9,50,434,0.363,0.335,0.698,0.257,0.298,405.02583388778,1711,853,0.328
JAL,2022,718,2631,2333,619,251,24,125,15,32,870,28,19,264,422,233,10,59,447,0.373,0.337,0.71,0.265,0.309,418.1023941006875,1733,870,0.333
MAZ,2022,712,2392,2152,504,200,75,86,14,27,699,38,20,219,412,160,10,46,377,0.325,0.296,0.621,0.234,0.275,333.4009392326458,1668,692,0.292
MOC,2022,707,2570,2271,592,264,44,92,13,43,839,32,19,282,493,213,15,60,444,0.369,0.33,0.6990000000000001,0.261,0.313,400.08710024395646,1698,822,0.325
MTY,2022,776,2514,2187,574,259,33,103,11,37,810,29,18,284,399,238,14,56,423,0.37,0.34,0.71,0.262,0.304,395.0042736748725,1631,827,0.33
MXC,2022,729,2544,2199,491,220,41,79,14,30,688,37,21,240,476,265,14,44,368,0.313,0.314,0.627,0.223,0.269,356.6088999778221,1729,779,0.299
NAV,2022,781,2505,2213,536,233,38,109,6,31,750,35,18,254,487,201,5,41,390,0.339,0.313,0.652,0.242,0.295,365.5645131958305,1695,767,0.307
OBR,2022,710,2576,2237,521,248,51,107,11,34,752,28,30,271,482,242,21,32,369,0.336,0.312,0.648,0.233,0.278,369.0495131958305,1746,770,0.301
